PublishYear,CountryName,Code,Country,Region,Income group,Population,Population(per ten Million),num_AI_conf_papers,num_AI_conf_citation,num_AI_journal_papers,num_AI_journal_citation,num_AI_patents_papers,num_AI_patents_citation,num_AI_conf_papers_pc,num_AI_conf_citation_pc,num_AI_journal_papers_pc,num_AI_journal_citation_pc,num_AI_patents_papers_pc,num_AI_patents_citation_pc,relative_ai_skill_penetration,num_AIocc_fem,skill_penetration,ai_hiring_index,enroll_share,num_AIstartups,ai_privateinvestment_tot,num_startups_pc,ai_privateinvestment_pc,num_AI_conf_papers_scaled,num_AI_conf_citation_scaled,num_AI_journal_papers_scaled,num_AI_journal_citation_scaled,num_AI_patents_papers_scaled,num_AI_patents_citation_scaled,num_AI_conf_papers_pc_scaled,num_AI_conf_citation_pc_scaled,num_AI_journal_papers_pc_scaled,num_AI_journal_citation_pc_scaled,num_AI_patents_papers_pc_scaled,num_AI_patents_citation_pc_scaled,relative_ai_skill_penetration_fem_scaled,num_AIocc_fem_scaled,skill_penetration_scaled,ai_hiring_index_scaled,enroll_share_scaled,num_AIstartups_scaled,ai_privateinvestment_tot_scaled,num_startups_pc_scaled,ai_privateinvestment_pc_scaled,mean
2015,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,204471769,20.4471769,425.2500006,2193.333333,340.5333337,5210.999997,0.5,0,20.79749213,107.268272,16.65429587,254.8518078,0.0244532535,0,-,-,-,-,0.1494199138,2,199690480,0.0009781301398,97661.63856,5.600721817,1.62284418,3.464301164,3.194192842,1,1,3.264463435,1.433874848,3.337986449,1.734571728,1.0008946,1,-,-,-,-,6.092440353,1.069279216,1.837605923,1.048827773,1.701475716,2.304487589
2017,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,207833831,20.7833831,461.3900798,2792.633734,383.8038727,4670.136698,-,-,22.19995068,134.3685829,18.46686225,224.7053175,-,-,-,-,0.51353,1.110319327,0.3110409606,11,8551702,0.005292689812,4114.682369,5.991946406,1.793028421,3.777662499,2.966451836,-,-,3.419980089,1.54348921,3.594315865,1.647679036,-,-,-,-,17.60758086,9.269067727,39.7272147,1.692792162,1.0356936,1.397315882,1.02925908,2.06121278
2018,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,209469333,20.9469333,493.2023816,1403.873808,309.2000005,2987.225,-,-,23.5453264,67.02049354,14.76111066,142.6091809,-,-,-,-,0.4306,1.608028623,0.2985439963,8,8224540,0.00381917481,3926.369499,6.33632182,1.398660166,3.237387996,2.257829153,-,-,3.569166908,1.271082081,3.070256084,1.41104936,-,-,-,-,14.4382448,28.97674098,37.12648551,1.484954514,1.03432101,1.278299691,1.027905888,1.879312797
2019,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,211049527,21.1049527,463.99337,532.355556,425.6983526,2206.395604,-,-,21.98504667,25.22420038,20.17054284,104.5439729,-,-,-,-,0.3667,2.49744515,0.3183340401,16,56503687,0.0075811589,26772.71435,6.020127616,1.151173812,4.081058538,1.929045758,-,-,3.396149686,1.102025938,3.835246877,1.301332164,-,-,-,-,11.9961783,64.19474974,41.24496927,2.039188244,1.236873539,1.582156127,1.192076842,1.901346699
2020,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,212559000,21.2559,334.7416672,91.33333352,530.0651527,760.0781398,0.5,0,15.74817661,4.296846218,24.93731871,35.75845482,0.02352288071,0,0.34853,7,0.47105,3.401692223,0.2540543773,14,31842570,0.006633514038,15087.72394,4.620948491,1.025936065,4.836873477,1.320045675,1,1,2.704551948,1.017379729,4.509354534,1.103068329,1.000436722,1,1.504174933,2.885714286,15.98412257,100,27.86780093,1.900629811,1.133409167,1.505614604,1.108109974,2.094882914
2016,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,206163058,20.6163058,463.6333339,2438.583334,352.1416673,5126.134515,2,28,22.48867175,118.2842046,17.08073555,248.6446682,0.09701059052,1.358148267,-,-,0.24773,1,0.2690840303,2,3488133,0.0009701059052,1691.929211,6.016230143,1.692488194,3.548367668,3.158458581,1.04251157,1.091466533,3.451995962,1.478431696,3.398292673,1.716680588,1.03660333,1.104265814,-,-,7.449501442,4.900780291,30.99560512,1.069279216,1.014449672,1.048179654,1.011849482,2.394649396
2015,India,IND,IN,South Asia,Lower middle income,1310152403,131.0152403,2650.183334,12727.36667,1597.692858,24100.48095,32.33333334,107.6666666,20.22805384,97.14416919,12.19470998,183.9517364,0.2467906273,0.8217873459,-,-,-,-,0.3618543889,24,43552763,0.001831847955,3324.25166,29.68613196,4.614209542,12.56853688,11.14797598,1.90218999,1.351710598,3.201319225,1.392925241,2.707320968,1.530213013,1.110316824,1.063089081,-,-,-,-,50.30194014,2.593421973,1.182538643,1.117782783,1.023579145,6.022994942
2017,India,IND,IN,South Asia,Lower middle income,1338658835,133.8658835,2322.883334,9790.055559,1990.745876,20913.24774,20.25,25.75,17.35231766,73.13331301,14.87119663,156.2253742,0.1512708053,0.192356703,-,-,2.38158,0.9838372442,0.5823340076,56,2408548728,0.004183291406,179922.5213,26.14303491,3.780096868,15.41499133,9.80592948,1.559735674,1.084116544,2.88243289,1.295806994,3.085824216,1.450295974,1.063307223,1.014767333,-,-,88.99885349,4.2607876,96.1857057,4.810356893,11.10475029,1.307709484,2.29259205,5.715028286
2019,India,IND,IN,South Asia,Lower middle income,1366417754,136.6417754,2194.951704,3037.572222,2226.121827,10067.44047,44.83333337,32.66666669,16.0635479,22.23018702,16.29166352,73.67761756,0.3281085396,0.2390679321,-,-,2.66944,1.84580641,0.5606925812,101,490898394,0.007391590142,35925.93792,24.75814587,1.862583973,17.11956271,5.239091504,2.256453076,1.106710955,2.739523026,1.089915861,3.286703726,1.212364571,1.150337027,1.018353381,-,-,100,38.39196989,91.6819328,7.927921624,3.059352851,1.566844609,1.257850753,5.236645473
2020,India,IND,IN,South Asia,Lower middle income,1380004000,138.0004,1404.005557,737.9388893,3131.701565,4539.690195,38.83333337,13.5,10.17392382,5.347367756,22.69342382,32.89621041,0.2814001508,0.0978258034,3.16172,110,2.61149,2.831134858,0.5124448303,74,496679517,0.0054156205,36349.02397,16.19597366,1.209553621,23.67768937,2.911524801,2.086406795,1.044099936,2.086430907,1.021628841,4.192027526,1.094818343,1.127349728,1.007510142,100,100,97.78532467,77.40777953,81.64114761,6.057382785,3.083607237,1.407245026,1.260890996,4.804584472
2016,India,IND,IN,South Asia,Lower middle income,1324509589,132.4509589,2796.216668,12851.65001,2050.159525,20570.35714,33.50000003,113.4999999,21.11133578,97.02949769,15.47863105,155.3054603,0.2529238014,0.8569209377,-,-,1.9719,1.000000001,0.5683882514,44,2633692731,0.003321984255,198842.8587,31.26697607,4.64950247,15.84525961,9.661548728,1.935254545,1.370766125,3.299265116,1.392461422,3.171726344,1.447644462,1.113335235,1.065786307,-,-,73.34211166,4.900780324,93.28347008,3.979006298,12.04932968,1.238141481,2.42855121,6.351627203
2018,India,IND,IN,South Asia,Lower middle income,1352617328,135.2617328,1964.733334,6298.35,2035.435715,15205.24287,33.50000003,43.83333334,14.52541893,46.56416763,15.04812686,112.4134857,0.2476679792,0.3240630771,-,-,2.59936,1.252083209,0.5772556946,71,3391754280,0.00524908254,250754.9038,22.26597958,2.788551965,15.73863111,7.402463075,1.935254545,1.14318868,2.568962071,1.18834107,3.110845326,1.324014843,1.110748609,1.024878506,-,-,97.32175242,14.88245749,95.1288637,5.849545136,15.22973558,1.393793712,2.801584622,5.133488281
2015,Singapore,SGP,SG,East Asia & Pacific,High income,5535002,0.5535002,494.3666676,11790.91665,293.1833345,12572.76666,35.5,154.5,893.1643884,21302.46141,529.6896632,22715.01737,64.13728486,279.1326905,-,-,-,-,0.2908560515,15,86678832,0.2710026121,1566012.659,6.348925481,4.348284415,3.121396747,6.294007796,1.991936638,1.504699264,100,87.16342957,75.89039482,66.47259642,32.55370333,22.42917513,-,-,-,-,35.52655598,1.969909027,1.363471715,22.85877555,12.25286106,34.00987914
2017,Singapore,SGP,SG,East Asia & Pacific,High income,5612253,0.5612253,413.0102578,7401.665367,290.506554,9785.239886,16,29,735.9081242,13188.40289,517.6291126,17435.49317,28.50904975,51.67265268,-,-,0.9845,1.126419788,0.4761205552,22,67513097,0.3919994341,1202958.901,5.468223813,3.101862097,3.102011745,5.120265463,1.439286225,1.094733195,82.56207434,54.34397756,74.18481652,51.25516772,15.019446,4.966938885,-,-,35.60664281,9.906593738,74.08174356,2.454863541,1.283062918,32.6317204,9.644002516,25.13823363
2019,Singapore,SGP,SG,East Asia & Pacific,High income,5703569,0.5703569,430.3989263,3702.716666,303.0666683,4625.699992,31,21.5,754.6133418,6491.929292,531.3632014,8110.18503,54.35193297,37.69569545,-,-,0.7581,1.942416745,0.4529293777,52,428597323,0.9117098434,7514546.12,5.65646011,2.051466046,3.192970958,2.947740898,1.864401927,1.070233231,84.63626956,27.25832206,76.12706316,24.37637971,27.73789145,3.893919943,-,-,26.95431331,42.2174257,69.25545367,4.533240028,2.797972104,74.60886561,54.99827268,21.73442659
