PublishYear,CountryName,Code,Country,Region,Income group,Population,Population(per ten Million),num_AIconf_papers,num_AIconf_citation,num_AIjournal_papers,num_AIjournal_citation,num_AIpatents,num_AIpatent_citation,num_DLpapers,num_AIconf_papers_pc,num_AIconf_citation_pc,num_AIjournal_papers_pc,num_AIjournal_citation_pc,num_AIpatents_pc,num_AIpatent_citation_pc,num_DLpapers_pc,relative_ai_skill_penetration_fem,num_AIocc_fem,skill_penetration,ai_hiring_index,enroll_share,num_AIstartups,ai_privateinvestment_tot,num_AIstartups_pc,ai_privateinvestment_pc,num_AIconf_papers_scaled,num_AIconf_citation_scaled,num_AIjournal_papers_scaled,num_AIjournal_citation_scaled,num_AIpatents_scaled,num_AIpatent_citation_scaled,num_DLpapers_scaled,num_AIconf_papers_pc_scaled,num_AIconf_citation_pc_scaled,num_AIjournal_papers_pc_scaled,num_AIjournal_citation_pc_scaled,num_AIpatents_pc_scaled,num_AIpatent_citation_pc_scaled,num_DLpapers_pc_scaled,relative_ai_skill_penetration_fem_scaled,num_AIocc_fem_scaled,skill_penetration_scaled,ai_hiring_index_scaled,enroll_share_scaled,num_AIstartups_scaled,ai_privateinvestment_tot_scaled,num_AIstartups_pc_scaled,ai_privateinvestment_pc_scaled,mean
2015,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,204471769,20.4471769,429.3409096,2249.924242,342.1166671,5238.249998,0.5,0,6,20.9975642,110.0359357,16.73173117,256.1845101,0.0244532535,0,0.2934390419,-,-,-,-,0.1494199138,2,199690480,0.0009781301398,97661.63856,5.635263832,1.617577177,3.441439021,3.13463698,1,1,1.310994764,3.273206714,1.43408921,3.321604785,1.727014918,1.000613458,1,1.108852093,-,-,-,-,6.092440353,1.069279216,1.837605923,1.048827773,1.701475716,2.298787175
2017,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,207833831,20.7833831,460.4650798,2879.396032,383.2622061,4985.498398,-,-,17,22.15544397,138.5431822,18.44079976,239.8790598,-,-,0.8179611528,-,-,0.51353,1.110319327,0.3110409606,11,8551702,0.005292689812,4114.682369,5.971483354,1.790359622,3.735279673,3.031628453,-,-,1.881151832,3.400958626,1.546549636,3.5604854,1.680691946,-,-,1.303425144,-,-,17.60758086,9.269067727,39.7272147,1.692792162,1.0356936,1.397315882,1.02925908,2.059786392
2018,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,209469333,20.9469333,500.7023816,1516.740478,320.7083339,3215.725,-,-,25,23.90337404,72.40871284,15.31051487,153.5176989,-,-,1.193492128,-,-,0.4306,1.608028623,0.2985439963,8,8224540,0.00381917481,3926.369499,6.406147677,1.416327041,3.288551521,2.310360018,-,-,2.295811518,3.593812333,1.28565069,3.122957977,1.435343622,-,-,1.442729485,-,-,14.4382448,28.97674098,37.12648551,1.484954514,1.03432101,1.278299691,1.027905888,1.90492924
2019,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,211049527,21.1049527,463.4923619,579.1055551,424.7816859,2334.940842,-,-,32,21.96130778,27.43932021,20.12710912,110.6347347,-,-,1.51623178,-,-,0.3667,2.49744515,0.3183340401,16,56503687,0.0075811589,26772.71435,6.004185634,1.158957518,4.031790823,1.951397785,-,-,2.658638743,3.37953907,1.108247481,3.796184902,1.313515256,-,-,1.562450728,-,-,11.9961783,64.19474974,41.24496927,2.039188244,1.236873539,1.582156127,1.192076842,1.895318206
2020,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,212559000,21.2559,374.5750007,108.8333335,543.3468988,874.7075039,0.5,0,44,17.62216611,5.120147043,25.56216856,41.15128053,0.02352288071,0,2.070013502,0.34853,7,0.47105,3.401692223,0.2540543773,14,31842570,0.006633514038,15087.72394,5.043653916,1.029873443,4.878523672,1.356281928,1,1,3.280628272,2.900790192,1.020198861,4.55585619,1.116116224,1.000195492,1,1.767877719,1.504174933,2.885714286,15.98412257,100,27.86780093,1.900629811,1.133409167,1.505614604,1.108109974,2.158457493
2016,Brazil,BRA,BR,Latin America & Caribbean,Upper middle income,206163058,20.6163058,465.4666672,2485.46667,354.9416673,5328.24881,2,28,-,22.57759813,120.5582947,17.21655037,258.4482817,0.09701059052,1.358148267,-,-,-,0.24773,1,0.2690840303,2,3488133,0.0009701059052,1691.929211,6.02551311,1.682230744,3.533028693,3.171315858,1.041227096,1.090390322,-,3.447536,1.475599672,3.389369127,1.73344618,1.033209463,1.100399595,-,-,-,7.449501442,4.900780291,30.99560512,1.069279216,1.014449672,1.048179654,1.011849482,2.393605488
2015,India,IND,IN,South Asia,Lower middle income,1310152403,131.0152403,2648.850001,12975.45,1595.692858,24562.33096,32.33333334,109.6666666,11,20.2178769,99.03771479,12.17944458,187.4768989,0.2467906273,0.8370527457,0.08395969793,-,-,-,-,0.3618543889,24,43552763,0.001831847955,3324.25166,29.61155879,4.561605155,12.39384685,11.01013654,1.874930594,1.35402876,1.570157068,3.18718177,1.390701485,2.685320775,1.531820017,1.100497364,1.06187819,1.031145102,-,-,-,-,50.30194014,2.593421973,1.182538643,1.117782783,1.023579145,5.980292192
2017,India,IND,IN,South Asia,Lower middle income,1338658835,133.8658835,2334.600001,10131.93889,1974.662542,21641.78444,20.25,26.75,49,17.43984307,75.68723726,14.7510515,161.6676622,0.1512708053,0.1998268663,0.366037998,-,-,2.38158,0.9838372442,0.5823340076,56,2408548728,0.004183291406,179922.5213,26.21686638,3.781095512,15.10025688,9.819872288,1.542823431,1.08635504,3.539790576,2.880674013,1.298584393,3.04476044,1.458497261,1.057585582,1.014771978,1.135782893,-,-,88.99885349,4.2607876,96.1857057,4.810356893,11.10475029,1.307709484,2.29259205,5.691845266
2019,India,IND,IN,South Asia,Lower middle income,1366417754,136.6417754,2203.367362,3277.230557,2232.705161,10798.60714,46.33333337,35.50000003,120,16.1251371,23.98410403,16.33984302,79.02859218,0.3390861487,0.2598034161,0.8782087297,-,-,2.66944,1.84580641,0.5606925812,101,490898394,0.007391590142,35925.93792,24.79922296,1.899560419,16.94306689,5.400752008,2.259716825,1.114602015,7.219895288,2.735619055,1.094616733,3.26682964,1.22372378,1.141960645,1.019205678,1.325774163,-,-,100,38.39196989,91.6819328,7.927921624,3.059352851,1.566844609,1.257850753,5.241573054
2020,India,IND,IN,South Asia,Lower middle income,1380004000,138.0004,1494.411112,928.0333339,3188.99601,5342.590744,44.83333337,15.5,133,10.82903464,6.724859739,23.10859976,38.71431346,0.3248782857,0.112318515,0.9637653224,3.16172,110,2.61149,2.831134858,0.5124448303,74,496679517,0.0054156205,36349.02397,17.14070773,1.254734002,23.77241301,3.177160891,2.218489729,1.0500375,7.893717277,2.151286183,1.026529415,4.212914996,1.109192922,1.135577837,1.008303021,1.357511638,100,100,97.78532467,77.40777953,81.64114761,6.057382785,3.083607237,1.407245026,1.260890996,4.93811227
