PublishYear,CountryName,Code,Country,Region,Income group,Population,Population(per ten Million),num_AIconf_papers,num_AIconf_citation,num_AIjournal_papers,num_AIjournal_citation,num_AIpatents_papers,num_AIpatents_citation,num_DL_papers,num_AIconf_papers_pc,num_AIconf_citation_pc,num_AIjournal_papers_pc,num_AIjournal_citation_pc,num_AIpatents_papers_pc,num_AIpatents_citation_pc,num_DL_papers_pc,skill_penetration,ai_hiring_index,ai_privateinvestment_tot,ai_privateinvestment_pc,num_AIstartups,num_AIstartups_pc,female_ai_skill_penetration,num_AIocc_fem,num_AIconf_papers_scaled,num_AIconf_citation_scaled,num_AIjournal_papers_scaled,num_AIjournal_citation_scaled,num_AIpatents_papers_scaled,num_AIpatents_citation_scaled,num_DL_papers_scaled,num_AIconf_papers_pc_scaled,num_AIconf_citation_pc_scaled,num_AIjournal_papers_pc_scaled,num_AIjournal_citation_pc_scaled,num_AIpatents_papers_pc_scaled,num_AIpatents_citation_pc_scaled,num_DL_papers_pc_scaled,skill_penetration_scaled,ai_hiring_index_scaled,ai_privateinvestment_tot_scaled,ai_privateinvestment_pc_scaled,num_AIstartups_scaled,num_AIstartups_pc_scaled,female_ai_skill_penetration_scaled,num_AIocc_fem_scaled,mean,Coverage
2015,Australia,AUS,AU,East Asia & Pacific,High income,23815995,2.3815995,846.8666677,12493.63333,680.6218272,19865.10318,47,171.5,71,355.5873553,5245.900214,285.7834943,8341.076316,19.73463632,72.01042829,29.81189742,-,-,20775972,87235.3727,8,0.03359087034,-,-,9.591508036,4.426569898,5.450128912,9.016141655,2.278039978,1.553640721,4.680104712,39.55822295,25.02538159,40.10448701,28.73606094,9.855132435,6.323290545,12.05881279,-,-,1.086979858,1.626553883,1.484954514,3.682967298,-,-,15.15988372,97.10144928
2017,Australia,AUS,AU,East Asia & Pacific,High income,24601860,2.460186,768.8134938,15055.32857,746.1577452,16663.43619,20,87,216,312.5021823,6119.589564,303.2932247,6773.242424,8.129466634,35.36317986,87.79823965,0.65144,1.034707123,70823287,287877.7743,30,0.1219419995,-,-,8.743137526,5.129744941,5.920185402,7.710163932,1.535952249,1.280855643,12.19581152,34.7543593,29.02808952,42.59834555,23.50943627,4.641560161,3.614183605,33.56902039,22.87808776,6.275069767,1.29695064,3.06834489,3.009097271,10.81911103,-,-,14.03883451,85.50724638
2018,Australia,AUS,AU,East Asia & Pacific,High income,24982688,2.4982688,768.4011924,10207.95238,711.5694831,15590.13246,30.5,123,223,307.5734654,4086.010432,284.8250289,6240.374319,12.20845411,49.23409363,89.26181202,0.62201,1.37064234,161166330,645112.0472,43,0.1721191891,-,-,8.738656167,3.799159669,5.672101029,7.27235739,1.824541921,1.397071771,12.55863874,34.20482261,19.71147909,39.96797564,21.73303534,6.474027637,4.639575425,34.11193695,21.75336136,19.5770144,1.675979952,5.635385344,3.909727082,14.87193571,-,-,12.95290031,84.05797101
2019,Australia,AUS,AU,East Asia & Pacific,High income,25364307,2.5364307,860.8407758,6957.414283,873.8591663,11443.03053,39,58.5,353,339.3906152,2742.994036,344.5231783,4511.469809,15.37593753,23.0639063,139.1719474,0.61674,1.778568248,209015637,824054.1995,45,0.1774146638,-,-,9.743394508,2.906900034,6.836124075,5.580731512,2.058162132,1.188851208,19.29685864,37.75233648,13.55860292,48.47060458,15.96945604,7.897005861,2.704973533,52.62625141,21.55195775,35.72955681,1.876729111,6.921241094,4.048285514,15.29965258,-,-,12.88892857,82.60869565
2020,Australia,AUS,AU,East Asia & Pacific,High income,25651000,2.5651,658.1523833,1225.830952,1137.712018,3620.283729,38,10.5,349,256.57962,477.8881727,443.5351518,1411.361635,14.81423726,4.093407664,136.0570738,0.64328,2.103858948,289944519,1143120.208,32,0.1261615387,0.68037,9,7.54034694,1.333603459,8.72860913,2.389789713,2.030677401,1.033896371,19.0895288,28.51916644,3.181279224,62.57258395,5.634750338,7.644664444,1.302600593,51.4707797,22.56623701,48.61001312,2.216261823,9.214009214,3.147655703,11.15992431,13.12260618,4.771428571,10.992664,82.60869565
2016,Australia,AUS,AU,East Asia & Pacific,High income,24190907,2.4190907,758.7833347,13913.4,702.0020226,20518.2079,24.33333334,133.3333334,-,313.6646901,5751.499934,290.1925184,8481.785285,10.05887598,55.11712867,-,0.60101,1,15740531,65067.96541,12,0.04960541579,-,-,8.63411837,4.816290141,5.603478401,9.282546691,1.655052749,1.430430104,-,34.88397533,27.34172894,40.73245113,29.20513676,5.508338964,5.074472225,-,20.95080429,4.900780291,1.06585394,1.467261689,1.762071379,4.976466308,-,-,14.51400165,86.95652174
2015,Belgium,BEL,BE,Europe & Central Asia,High income,11274196,1.1274196,245.7333338,3104.866665,221.7369054,5578.201185,3,3,6,217.9608495,2753.958388,196.6764685,4947.759632,2.660943627,2.660943627,5.321887255,-,-,-,-,-,-,-,-,3.057708476,1.849391206,2.158775981,3.188435101,1.068711827,1.009684677,1.310994764,24.21329288,13.60883485,27.41323972,17.42389784,2.18484986,1.196707288,2.974170043,-,-,-,-,-,-,-,-,8.197794142,94.20289855
2017,Belgium,BEL,BE,Europe & Central Asia,High income,11375158,1.1375158,169.941667,2144.041663,233.2463333,3673.145627,4,6,12,149.3971926,1884.845611,205.0488734,3229.09416,3.516434673,5.274652009,10.54930402,0.26892,0.9014873758,62665941,550901.7193,4,0.03516434673,-,-,2.233918592,1.585648606,2.241327373,2.411352375,1.096196557,1.019369355,1.621989529,16.56865702,9.627093965,28.60569633,11.69445201,2.569175511,1.389922763,4.913295974,8.259319737,1,1.26272694,4.958401804,1.207837649,3.810057396,-,-,6.753567538,82.60869565
2018,Belgium,BEL,BE,Europe & Central Asia,High income,11427054,1.1427054,205.1333338,2034.899999,176.9568188,3135.701517,2,1,11,179.5155022,1780.773942,154.8577777,2744.103176,1.750232387,0.8751161936,9.626278129,0.2561,0.9402510633,15758720,137907.1106,6,0.05250697161,-,-,2.616421581,1.555689659,1.83759073,2.192125942,1.041227096,1.003228226,1.570157068,19.92675547,9.150301505,21.45712863,10.07765711,1.775716775,1.064691988,4.570896751,7.769377758,2.534916255,1.065930251,1.990674605,1.346396081,5.210825728,-,-,6.141544559,81.15942029
2019,Belgium,BEL,BE,Europe & Central Asia,High income,11484055,1.1484055,172.2574408,603.2476189,226.2605167,1569.598014,1.333333343,0,15,149.9970531,525.2914749,197.0214499,1366.762885,1.161030092,0,13.06158844,0.53142,1.145368133,19342202,168426.588,6,0.05224635375,-,-,2.259089051,1.162706838,2.191221591,1.553303638,1.022903943,1,1.777486911,16.63553962,3.398452037,27.4623744,5.486073282,1.511020193,1,5.845235416,18.29128305,10.65688672,1.080964554,2.209983722,1.346396081,5.189775555,-,-,5.390223715,79.71014493
